,sport,name,year,gender,college,ncaa_college,full_prob,part_prob,ncaa_conf,ncaa_div,ncaa_reclass,ncaa_state
172,Football,Jan Cocoziello,2005.0,M,Hartwick College (Basketball) *Set scoring record at Hartiwck,State University of New York at Canton,34.0,39.0,,III,,NY
173,Football,Andrew Murphy,2005.0,M,Hartiwck College,Hartwick College,88.0,88.0,Empire 8,III,,NY
174,Football,Brendan Smith,2005.0,M,Northwestern University,Northwestern University,100.0,100.0,Big Ten Conference,I-FBS,,IL
175,Football,Tommy Ames,2004.0,M,Tufts University,Tufts University,100.0,100.0,New England Small College Athletic Conference,III,,MA
176,Football,Brad Crocker,2004.0,M,St. Lawrence University,St. Lawrence University,100.0,100.0,Liberty League,III,,NY
177,Football,Connor McQuade,2004.0,M,Northeastern University,Northeastern University,100.0,100.0,Colonial Athletic Association,I,,MA
178,Football,Brian Smith,2004.0,M,College of Wooster,The College of Wooster,80.0,100.0,North Coast Athletic Conference,III,,OH
179,Football,Brian Burbank,2003.0,M,Bentley College,Bentley University,100.0,100.0,Northeast-10 Conference,II,,MA
180,Football,Sean Smith,2003.0,M,Bentley College,Bentley University,100.0,100.0,Northeast-10 Conference,II,,MA
181,Football,Rodney Ames,2002.0,M,Colby College,Colby College,100.0,100.0,New England Small College Athletic Conference,III,,ME
182,Football,Mark Barnaby,2002.0,M,Endicott College,Endicott College,100.0,100.0,Commonwealth Coast Conference,III,,MA
183,Football,David Klapman,2002.0,M,University of New Hampshire,University of New Hampshire,100.0,100.0,America East Conference,I-FCS,,NH
184,Football,Mike Malvesti,2002.0,M,Bentley College,Bentley University,100.0,100.0,Northeast-10 Conference,II,,MA
185,Football,Jake Ottolini,2002.0,M,Boston College,Boston College,100.0,100.0,Atlantic Coast Conference,I-FBS,,MA
186,Football,Mark Germano,2001.0,M,Siena College,Siena College,100.0,100.0,Metro Atlantic Athletic Conference,I,,NY
187,Football,Garth Glissman,2001.0,M,University of Nebraska,University of Nebraska Omaha,79.0,100.0,The Summit League,I,,NE
188,Football,John Kydd,2001.0,M,Assumption College,Assumption College,100.0,100.0,Northeast-10 Conference,II,,MA
189,Football,David Rosen,2001.0,M,Endicott College,Endicott College,100.0,100.0,Commonwealth Coast Conference,III,,MA
190,Football,Mike Bianchi,2000.0,M,University of Massachusetts,University of Massachusetts Lowell,82.0,100.0,America East Conference,II,I,MA
191,Football,Jamaal Branch,2000.0,M,"Colgate University; Rhine Fire, NFL Europe; New Orleans Saints, NFL",University of New Orleans,37.0,86.0,Southland Conference,I,,LA
192,Football,Matt Gulley,2000.0,M,St. Lawrence University,St. Lawrence University,100.0,100.0,Liberty League,III,,NY
193,Football,J.P. Laguelle,2000.0,M,Merrimack College,Merrimack College,100.0,100.0,Northeast-10 Conference,II,,MA
194,Football,Seikou Medows,2000.0,M,Norwich University,Norwich University,100.0,100.0,Great Northeast Athletic Conference,III,,VT
195,Football,Raunny Rosario,2000.0,M,Merrimack College,Merrimack College,100.0,100.0,Northeast-10 Conference,II,,MA
196,Golf,Rafael Machado,2006.0,M,Reinhardt College,Binghamton University,53.0,56.0,America East Conference,I,,NY
197,Golf,Mark Baldwin,2002.0,M,Notre Dame University,University of Notre Dame,87.0,100.0,Atlantic Coast Conference,I-FBS,,IN
198,Hockey,Kyle Valliere,2014.0,M,Southern New Hampshire University,Southern New Hampshire University,100.0,100.0,Northeast-10 Conference,II,,NH
199,Hockey,Andrew Corapi,2014.0,M,University of Delaware,University of Delaware,100.0,100.0,Colonial Athletic Association,I-FCS,,DE
200,Hockey,Anthony Maiuri,2013.0,M,St. Michael's College,Saint Michael's College,86.0,88.0,Northeast-10 Conference,II,,VT
201,Hockey,Malcolm Hayes,2013.0,M,University of Maine,"University of Maine, Orono",70.0,100.0,America East Conference,I-FCS,,ME
202,Hockey,Mike Durelli,2011.0,M,Southern New Hampshire University,Southern New Hampshire University,100.0,100.0,Northeast-10 Conference,II,,NH
203,Hockey,TJ Bond,2011.0,M,Southern New Hampshire University,Southern New Hampshire University,100.0,100.0,Northeast-10 Conference,II,,NH
204,Hockey,John Humphrey -,2011.0,M,Southern New Hampshire University,Southern New Hampshire University,100.0,100.0,Northeast-10 Conference,II,,NH
205,Hockey,Dane Caracino -,2011.0,M,Southern New Hampshire University,Southern New Hampshire University,100.0,100.0,Northeast-10 Conference,II,,NH
206,Hockey,Casey Goll -,2011.0,M,Southern New Hampshire University,Southern New Hampshire University,100.0,100.0,Northeast-10 Conference,II,,NH
207,Hockey,Steven Berry -,2011.0,M,Southern New Hampshire University,Southern New Hampshire University,100.0,100.0,Northeast-10 Conference,II,,NH
208,Hockey,Ryan Arsenault,2010.0,M,St. Michael's College,Saint Michael's College,86.0,88.0,Northeast-10 Conference,II,,VT
209,Hockey,Troy Thibodeau,2010.0,M,University of Southern Maine,University of Southern Maine,100.0,100.0,Little East Conference,III,,ME
210,Hockey,Bryan Rooney,2010.0,M,Stonehill College,Stonehill College,100.0,100.0,Northeast-10 Conference,II,,MA
211,Hockey,Kyle Zobler,2009.0,M,Assumption College,Assumption College,100.0,100.0,Northeast-10 Conference,II,,MA
212,Hockey,Joe McCabe,2009.0,M,Trinity College,Trine University,67.0,80.0,Michigan Intercol. Ath. Assn.,III,,IN
213,Hockey,Joe Gehrig,2009.0,M,St Michaels College,Saint Michael's College,85.0,91.0,Northeast-10 Conference,II,,VT
214,Hockey,Mike Carr,2009.0,M,Franklin Pierce,Franklin Pierce University,100.0,100.0,Northeast-10 Conference,II,,NH
215,Hockey,Pat Dunn,2009.0,M,Franklin Pierce,Franklin Pierce University,100.0,100.0,Northeast-10 Conference,II,,NH
216,Hockey,MIke Tierney,2009.0,M,St. Anselms College,Saint Anselm College,78.0,80.0,Northeast-10 Conference,II,,NH
217,Hockey,Sean Dunn,2009.0,M,Franklin Pierce,Franklin Pierce University,100.0,100.0,Northeast-10 Conference,II,,NH
218,Hockey,Andrew Pryor,2008.0,M,Salve Regina,Salve Regina University,100.0,100.0,Commonwealth Coast Conference,III,,RI
219,Hockey,Kyle Stewardson,2008.0,M,Lebanon Valley College,Lebanon Valley College,100.0,100.0,Middle Atlantic Conference Commonwealth,III,,PA
220,Hockey,George Jenkins,2008.0,M,University Of New England,University of New England,93.0,93.0,Commonwealth Coast Conference,III,,ME
221,Hockey,Pat Shortt,2008.0,M,Franklin Pierce,Franklin Pierce University,100.0,100.0,Northeast-10 Conference,II,,NH
222,Hockey,Ryan Fitzpatrick,2007.0,M,Suffolk,Suffolk University,100.0,100.0,Great Northeast Athletic Conference,III,,MA
223,Hockey,Joe Trimboli,2007.0,M,Western New England,Western New England University,100.0,100.0,Commonwealth Coast Conference,III,,MA
224,Hockey,Matt McCarthy,2007.0,M,Franklin Pierce,Franklin Pierce University,100.0,100.0,Northeast-10 Conference,II,,NH
225,Hockey,Eric Spalt,2007.0,M,Salve Regina,Salve Regina University,100.0,100.0,Commonwealth Coast Conference,III,,RI
226,Hockey,Kevin Welch,2001.0,M,Babson College,Babson College,100.0,100.0,New England Women's and Men's Athletic Conference,III,,MA
227,Hockey,Mike Levine,2000.0,M,Utica College,Utica College,100.0,100.0,Empire 8,III,,NY
228,Hockey,Kevin Cooper,1999.0,M,Middlebury College,Middlebury College,100.0,100.0,New England Small College Athletic Conference,III,,VT
229,Hockey,Ryan Luczynski,1999.0,M,Plymouth State College,Plymouth State University,100.0,100.0,Little East Conference,III,,NH
230,Hockey,McGregor Chadwick,1998.0,M,Wentworth Institute of Technology,Wentworth Institute of Technology,100.0,100.0,Commonwealth Coast Conference,III,,MA
231,Hockey,Ryan Mahady,1998.0,M,Skidmore College,Skidmore College,100.0,100.0,Liberty League,III,,NY
