Institution,Conference,Division,Reclass Division,State
Alderson Broaddus University,Great Midwest Athletic Conference,II,,WV
American International College,Northeast-10 Conference,II,,MA
Anderson University (South Carolina),South Atlantic Conference,II,,SC
Angelo State University,Lone Star Conference,II,,TX
Arkansas Tech University,Great American Conference,II,,AR
"University of Arkansas, Fort Smith",Heartland Conference,II,,AR
"University of Arkansas, Monticello",Great American Conference,II,,AR
Armstrong State University,Peach Belt Conference,II,,GA
Ashland University,Great Lakes Intercollegiate Athletic Conference,II,,OH
Assumption College,Northeast-10 Conference,II,,MA
Auburn University at Montgomery,,II,,AL
Augusta University,Peach Belt Conference,II,,GA
Augustana University (South Dakota),Northern Sun Intercollegiate Conference,II,,SD
Azusa Pacific University,Pacific West Conference,II,,CA
Barry University,Sunshine State Conference,II,,FL
Barton College,Conference Carolinas,II,,NC
Bellarmine University,Great Lakes Valley Conference,II,,KY
Belmont Abbey College,Conference Carolinas,II,,NC
Bemidji State University,Northern Sun Intercollegiate Conference,II,,MN
Benedict College,Southern Intercol. Ath. Conf.,II,,SC
Bentley University,Northeast-10 Conference,II,,MA
Black Hills State University,Rocky Mountain Athletic Conference,II,,SD
Bloomfield College,Central Atlantic Collegiate Conference,II,,NJ
Bloomsburg University of Pennsylvania,Pennsylvania State Athletic Conference,II,,PA
Bluefield State College,,II,,WV
Bowie State University,Central Intercollegiate Athletic Association,II,,MD
Brevard College,South Atlantic Conference,II,,NC
University of Bridgeport,East Coast Conference,II,,CT
"Brigham Young University, Hawaii",Pacific West Conference,II,,HI
Caldwell University,Central Atlantic Collegiate Conference,II,,NJ
California Baptist University,Pacific West Conference,II,,CA
"California State Polytechnic University, Pomona",California Collegiate Athletic Association,II,,CA
"California State University,  Monterey Bay",California Collegiate Athletic Association,II,,CA
"California State University, Chico",California Collegiate Athletic Association,II,,CA
"California State University, Dominguez Hills",California Collegiate Athletic Association,II,,CA
"California State University, East Bay",California Collegiate Athletic Association,II,,CA
"California State University, Los Angeles",California Collegiate Athletic Association,II,,CA
"California State University, San Bernardino",California Collegiate Athletic Association,II,,CA
"California State University, Stanislaus",California Collegiate Athletic Association,II,,CA
"California State University, San Marcos",California Collegiate Athletic Association,II,,CA
California University of Pennsylvania,Pennsylvania State Athletic Conference,II,,PA
"University of California, San Diego",California Collegiate Athletic Association,II,,CA
Cameron University,Lone Star Conference,II,,OK
Carson-Newman University,South Atlantic Conference,II,,TN
Catawba College,South Atlantic Conference,II,,NC
Cedarville University,Great Midwest Athletic Conference,II,,OH
University of Central Missouri,Mid-America Intercollegiate Athletics Association,II,,MO
University of Central Oklahoma,Mid-America Intercollegiate Athletics Association,II,,OK
Central State University,Southern Intercol. Ath. Conf.,II,,OH
